CategoryNumber,Rating1_Unacceptable,Rating4_Acceptable,Rating7_Superior,SourceAppendix
1,"Appearance reflects poor uniform/equipment care, grooming, or compliance with appearance requirements.","Neat and clean; uniform/equipment are properly worn, clean, serviceable, and within grooming requirements.","Consistently exemplary appearance, equipment readiness, and command bearing.",A-3
2,"Rationalizes errors, argues about feedback, rejects criticism, or treats feedback as personal.","Accepts criticism positively and applies it to improve performance and prevent recurrence.","Actively seeks feedback and uses it to improve performance without argument or blame.",A-3
3,"Shows little dedication, treats the position as merely a job, or misuses authority/ego.","Shows active interest in the police career and job responsibilities.","Demonstrates exceptional professional interest, initiative, learning, responsibility, and concern for the law.",A-3
4,"When tested, demonstrates very limited policy/procedure knowledge; in the field cannot apply common department rules.","When tested, demonstrates acceptable knowledge and can apply commonly encountered department policies/procedures.","Demonstrates excellent working knowledge and applies department policies/procedures, including less-common situations.",A-4
5,"When tested, demonstrates very limited criminal-law knowledge; in the field does not recognize basic violations.","When tested, demonstrates acceptable knowledge and recognizes/applies commonly encountered criminal law.","Demonstrates outstanding criminal-law knowledge and applies it accurately to normal and unusual situations.",A-4
6,"When tested, demonstrates very limited base/department-regulation knowledge and cannot recognize common violations.","When tested, demonstrates acceptable knowledge and recognizes/applies commonly encountered regulations.","Demonstrates outstanding regulation knowledge and applies it accurately to normal and unusual situations.",A-5
7,"Does not know commonly used motor-vehicle-law sections or recognize violations.","Knows commonly used sections, applies them appropriately, and can locate less-familiar law in reference material.","Shows outstanding motor-vehicle-law knowledge, including less-common sections, and applies it effectively.",A-5
8,"Violates procedural requirements, mishandles search/arrest procedure, or does not recognize legal procedural limits.","Follows required procedures and conducts common searches/seizures within legal guidelines.","Follows procedure accurately and demonstrates advanced, reliable knowledge of criminal process, searches, evidence, and rights.",A-5/A-6
9,"Violates traffic rules, has preventable driving errors/accidents, poor control, or weak defensive-driving habits.","Obeys traffic laws, maintains control, performs maneuvers competently, and drives defensively.","Sets an exemplary driving standard with excellent control, anticipation, reaction, and defensive-driving skill.",A-6
10,"Handles stressful/emergency driving poorly, uses warning equipment improperly, selects unsafe speed, or loses control.","Maintains control, evaluates conditions properly, and obeys applicable traffic requirements under stress.","Shows excellent stressful-driving judgment and control; anticipates conditions and uses emergency equipment/speed appropriately.",A-6
11,"Becomes lost, lacks location awareness, cannot relate map/street information, or takes excessive time to arrive.","Maintains location awareness, properly uses maps, and relates locations to destination.","Remembers routes and relative locations, uses shortcuts appropriately, and navigates with exceptional orientation.",A-6
12,"Does not know which routine form is required or completes forms inaccurately/incompletely.","Selects common forms correctly and completes them accurately within reasonable time.","Selects and completes even less-common/complex forms accurately and efficiently.",A-7
13,"Report is disorganized, inaccurate, or omits pertinent details.","Report is organized logically, accurate, and contains pertinent details.","Report provides a complete, detailed, well-organized account from beginning to end.",A-7
14,"Report contains poor spelling/grammar or is difficult to read.","Report is legible with acceptable grammar/spelling and only rare minor errors.","Report is very neat and legible with no meaningful spelling or grammatical errors.",A-7
15,"Takes excessive time to complete reports compared with a competent officer.","Completes reports in a reasonable amount of time for the task.","Completes reports very efficiently at a skilled-veteran pace without sacrificing quality.",A-7
16,"Becomes confused by routine non-stress tasks, fails to act, or takes inappropriate action.","Properly assesses routine situations, selects appropriate action, and performs safely.","Recognizes unusual/complex elements early and handles non-stress situations with excellent judgment and effectiveness.",A-8
17,"Becomes emotional, panicked, ineffective, overreactive, or unable to function in stressful conditions.","Remains calm and self-controlled in most stressful situations and selects appropriate action.","Maintains exceptional composure under stress and can help restore control when others become ineffective.",A-8
18,"Fails to conduct a basic investigation, overlooks readily available evidence, or does not pursue obvious investigative avenues.","Uses proper investigative procedures, accurately identifies the nature of routine incidents, and properly collects/documents evidence.","Conducts thorough investigations, recognizes less-obvious evidence connections, and demonstrates evidence-technician-level care.",A-8
19,"Uses poor questioning, fails to establish rapport, misses important information, or loses control of the interview/interrogation.","Uses generally proper questioning, establishes appropriate rapport, and obtains needed information in routine matters.","Consistently uses effective questioning, rapport, and control even with difficult victims, witnesses, or suspects.",A-8
20,"Avoids or fails to recognize police activity, does not follow up, or shows little initiative.","Recognizes police-related activity, develops cases from observed activity, and demonstrates good initiative.","Actively recognizes opportunities, initiates appropriate activity with little FTO assistance, and reaches proper dispositions.",A-9
21,"Creates officer-safety risks through poor positioning, weapon/control practices, awareness, or accepted safety procedure.","Follows accepted officer-safety procedures and demonstrates them reliably.","Anticipates danger, keeps partners informed, avoids overconfidence, and consistently models safe officer behavior.",A-9
22,"Uses unsafe search/control practices with suspects or prisoners or fails to maintain a position of advantage.","Uses accepted safety procedures when dealing with suspects and prisoners.","Anticipates danger, maintains tactical advantage, stays alert, and prevents opportunities for danger from developing.",A-9
23,"Voice/command presence is ineffective, offensive, weak, inappropriate, or escalates the situation.","Uses calm, clear, authoritative verbal control and appropriate word choice.","Controls situations exceptionally through tone, inflection, word choice, and command bearing, restoring order when others cannot.",A-10
24,"Uses too much force or cannot apply enough force/control for the situation; poor restraint skill.","Obtains and maintains control using an appropriate level of force and restraint technique.","Demonstrates excellent restraint skill and judgment, selecting and applying the right level of force for the situation.",A-10
25,"Acts without sound reasoning, is indecisive/naive, or cannot identify and select reasonable options.","Reasons through routine problems and reaches acceptable decisions using available information.","Anticipates outcomes, reasons through complex problems, makes sound independent decisions, and accepts responsibility.",A-10
26,"Uses police radio procedures/codes improperly, violates policy, or is unsure of basic radio protocol.","Uses acceptable radio procedures and demonstrates good working knowledge of common codes/language.","Consistently follows radio procedure and demonstrates superior knowledge of codes, language, and police-radio operation.",A-10
27,"Misses call sign or directed traffic, needs repeated transmissions, or fails to comprehend radio information.","Tracks own transmissions and maintains general awareness of radio traffic in nearby patrol areas.","Maintains broad radio awareness, including surrounding areas/frequencies, and uses prior transmissions effectively.",A-11
28,"Transmissions are poorly planned, incorrectly modulated, incomplete, cut off, or use poor microphone/procedure technique.","Transmits clearly, concisely, completely, and with proper radio procedure.","Communicates calmly and completely even under stress; transmissions are well planned and rarely need repetition.",A-11
29,"Is abrupt, arrogant, overbearing, uncommunicative, biased, or fails to provide appropriate public service.","Is courteous, friendly, empathetic, professional, unbiased, and communicates effectively with citizens.","Is exceptionally comfortable and effective with citizens, uses strong verbal/non-verbal skills, and remains objective in all contacts.",A-11
30,"Displays hostility, stereotyping, prejudice, bias, or different treatment toward ethnic/cultural/social groups.","Is at ease with people from different groups and serves them objectively and respectfully.","Understands cultural differences and applies that understanding objectively and effectively to resolve problems.",A-11
